experimento,implementacao,matriz,tarefas,rodada,tempo_ms,resultado
E1,sequencial,500x500,,1,1916.339,1264682.830998
E1,sequencial,500x500,,2,1868.223,1264682.830998
E1,sequencial,500x500,,3,1950.409,1264682.830998
E1,sequencial,500x500,,4,1948.829,1264682.830998
E1,sequencial,500x500,,5,1878.210,1264682.830998
E1,sequencial,500x500,,6,1901.696,1264682.830998
E1,sequencial,500x500,,7,1906.452,1264682.830998
E1,sequencial,500x500,,8,1879.213,1264682.830998
E1,sequencial,500x500,,9,1873.070,1264682.830998
E1,sequencial,500x500,,10,1897.169,1264682.830998
E1,nao_estruturada,500x500,250000,1,430.416,1264682.830998
E1,nao_estruturada,500x500,250000,2,411.948,1264682.830998
E1,nao_estruturada,500x500,250000,3,391.503,1264682.830998
E1,nao_estruturada,500x500,250000,4,370.765,1264682.830998
E1,nao_estruturada,500x500,250000,5,371.611,1264682.830998
E1,nao_estruturada,500x500,250000,6,358.263,1264682.830998
E1,nao_estruturada,500x500,250000,7,397.769,1264682.830998
E1,nao_estruturada,500x500,250000,8,366.484,1264682.830998
E1,nao_estruturada,500x500,250000,9,365.073,1264682.830998
E1,nao_estruturada,500x500,250000,10,377.378,1264682.830998
E2,sequencial,1000x1000,,1,7499.368,5058731.323995
E2,sequencial,1000x1000,,2,7504.737,5058731.323995
E2,sequencial,1000x1000,,3,7804.813,5058731.323995
E2,sequencial,1000x1000,,4,7508.133,5058731.323995
E2,sequencial,1000x1000,,5,7433.282,5058731.323995
E2,sequencial,1000x1000,,6,7728.908,5058731.323995
E2,sequencial,1000x1000,,7,7566.656,5058731.323995
E2,sequencial,1000x1000,,8,7512.750,5058731.323995
E2,sequencial,1000x1000,,9,7660.343,5058731.323995
E2,sequencial,1000x1000,,10,7536.291,5058731.323995
E2,nao_estruturada,1000x1000,1000000,1,1877.309,5058731.323995
E2,nao_estruturada,1000x1000,1000000,2,1813.243,5058731.323995
E2,nao_estruturada,1000x1000,1000000,3,1833.371,5058731.323995
E2,nao_estruturada,1000x1000,1000000,4,1558.179,5058731.323995
E2,nao_estruturada,1000x1000,1000000,5,1868.700,5058731.323995
E2,nao_estruturada,1000x1000,1000000,6,1568.591,5058731.323995
E2,nao_estruturada,1000x1000,1000000,7,1743.612,5058731.323995
E2,nao_estruturada,1000x1000,1000000,8,1730.129,5058731.323995
E2,nao_estruturada,1000x1000,1000000,9,1638.412,5058731.323995
E2,nao_estruturada,1000x1000,1000000,10,1753.428,5058731.323995
E3,sequencial,1500x1500,,1,17310.925,11382145.478991
E3,sequencial,1500x1500,,2,16924.602,11382145.478991
E3,sequencial,1500x1500,,3,17138.438,11382145.478991
E3,sequencial,1500x1500,,4,16905.193,11382145.478991
E3,sequencial,1500x1500,,5,17085.555,11382145.478991
E3,sequencial,1500x1500,,6,17358.553,11382145.478991
E3,sequencial,1500x1500,,7,16822.674,11382145.478991
E3,sequencial,1500x1500,,8,17311.932,11382145.478991
E3,sequencial,1500x1500,,9,17166.752,11382145.478991
E3,sequencial,1500x1500,,10,16910.516,11382145.478991
E3,nao_estruturada,1500x1500,2250000,1,3693.683,11382145.478991
E3,nao_estruturada,1500x1500,2250000,2,3808.625,11382145.478991
E3,nao_estruturada,1500x1500,2250000,3,4107.399,11382145.478991
E3,nao_estruturada,1500x1500,2250000,4,3904.359,11382145.478991
E3,nao_estruturada,1500x1500,2250000,5,3889.556,11382145.478991
E3,nao_estruturada,1500x1500,2250000,6,3763.747,11382145.478991
E3,nao_estruturada,1500x1500,2250000,7,3779.569,11382145.478991
E3,nao_estruturada,1500x1500,2250000,8,3805.522,11382145.478991
E3,nao_estruturada,1500x1500,2250000,9,4357.119,11382145.478991
E3,nao_estruturada,1500x1500,2250000,10,3930.267,11382145.478991
E4,sequencial,2000x2000,,1,30312.210,20234925.296071
E4,sequencial,2000x2000,,2,30292.201,20234925.296071
E4,sequencial,2000x2000,,3,30409.228,20234925.296071
E4,sequencial,2000x2000,,4,30405.195,20234925.296071
E4,sequencial,2000x2000,,5,30198.326,20234925.296071
E4,sequencial,2000x2000,,6,30365.780,20234925.296071
E4,sequencial,2000x2000,,7,30323.108,20234925.296071
E4,sequencial,2000x2000,,8,30048.187,20234925.296071
E4,sequencial,2000x2000,,9,30178.806,20234925.296071
E4,sequencial,2000x2000,,10,30357.815,20234925.296071
E4,nao_estruturada,2000x2000,4000000,1,7976.656,20234925.296071
E4,nao_estruturada,2000x2000,4000000,2,8239.664,20234925.296071
E4,nao_estruturada,2000x2000,4000000,3,8694.192,20234925.296071
E4,nao_estruturada,2000x2000,4000000,4,9416.246,20234925.296071
E4,nao_estruturada,2000x2000,4000000,5,11574.811,20234925.296071
E4,nao_estruturada,2000x2000,4000000,6,10960.418,20234925.296071
E4,nao_estruturada,2000x2000,4000000,7,9663.643,20234925.296071
E4,nao_estruturada,2000x2000,4000000,8,9727.500,20234925.296071
E4,nao_estruturada,2000x2000,4000000,9,9951.150,20234925.296071
E4,nao_estruturada,2000x2000,4000000,10,9820.362,20234925.296071
